Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
INLAND WATERS POLLUTION CONTROL DETROIT FACILITY,DETROIT,WAYNE,MI,48210,42.33124,-83.10077,Chemicals,YES,0.0,0.0,0.0,480.0
ALLNEX USA INC. WALLINGFORD CT SITE,WALLINGFORD,NEW HAVEN,CT,6492,41.435,-72.836389,Chemicals,NO,1057.0,126.0,0.0,1221.0
GUARDIAN ENERGY HANKINSON,HANKINSON,RICHLAND,ND,58041,46.073186,-96.886775,Chemicals,NO,9633.96,0.0,0.0,12532.06
CHIEF ETHANOL FUELS INC,HASTINGS,ADAMS,NE,68901,40.585,-98.318889,Chemicals,NO,476.0,0.0,0.0,480.0
NOURYON SURFACE CHEMISTRY LLC,HOUSTON,HARRIS,TX,77053,29.583889,-95.433889,Chemicals,NO,210.0,0.0,0.0,6932.0
WATERS TECHNOLOGY CORP,TAUNTON,BRISTOL,MA,2780,41.95257,-71.13507,Chemicals,NO,13630.0,0.0,0.0,13815.0
BUCKSKIN MINING CO GILLETTE WY,GILLETTE,CAMPBELL,WY,82716,44.4403,-105.532,Coal Mining,YES,2.12,0.0,0.0,7.651
CORTEVA AGRISCIENCE LLC - MIDLAND,MIDLAND,MIDLAND,MI,48640,43.606948,-84.217473,Chemicals,NO,240.0,0.0,0.0,247.0
CHEVRON PHILLIPS CHEMICAL CO LP,BAYTOWN,HARRIS,TX,77521,29.826,-94.921917,Chemicals,YES,29556.0,0.0,0.0,30513.0
HUNTSMAN INTERNATIONAL LLC,HOUSTON,HARRIS,TX,77012,29.72061,-95.27017,Chemicals,NO,4909.0,0.0,0.0,5095.0
LSB CHEMICAL LLC,CHEROKEE,COLBERT,AL,35616,34.80302,-87.93974,Chemicals,NO,189523.0,2591.0,0.0,553188.0
FLEXCON CO INC.,SPENCER,WORCESTER,MA,1562,42.23265,-72.01162,Plastics and Rubber,NO,7636.0,0.0,0.0,7927.0
HERITAGE-CRYSTAL CLEAN LLC - RE-REFINERY,INDIANAPOLIS,MARION,IN,46222,39.781162,-86.225313,Petroleum,YES,5.0,0.0,0.0,10.0
ROYAL ADHESIVES & SEALANTS LLC,SIMPSONVILLE,GREENVILLE,SC,29681,34.713333,-82.233056,Chemicals,NO,1286.0,0.0,0.0,1751.0
CHAMPIONX-ODESSA PLANT,ODESSA,ECTOR,TX,79762,31.873333,-102.302778,Chemicals,NO,33.93,0.0,0.0,381.68
KINGSFORD MANUFACTURING CO,BELLE,MARIES,MO,65013,38.221073,-91.735257,Chemicals,NO,241.5,0.0,0.0,241.5
DAVIS PAINT CO,NORTH KANSAS CITY,CLAY,MO,64116,39.133922,-94.571494,Chemicals,YES,0.0,0.0,0.0,250.0
TILLEY DISTRIBUTION,MIDDLE RIVER,BALTIMORE,MD,21220,39.3267,-76.4315,Chemical Wholesalers,NO,45.0,0.0,0.0,695.0
"ALTIVIA PETROCHEMICALS, LLC",HAVERHILL,SCIOTO,OH,45636,38.59167,-82.81944,Chemicals,NO,230.0,2134.0,0.0,8405.0
BIG RIVER UNITED ENERGY LLC,DYERSVILLE,DELAWARE,IA,52040,42.4872,-91.1633,Chemicals,YES,5947.61,0.0,0.0,5949.61
BRENNTAG PACIFIC INC MOSSMAIN LN,BILLINGS,YELLOWSTONE,MT,59106,45.6888,-108.70827,Chemical Wholesalers,NO,1950.23,0.0,0.0,2646.16
CROWLEY MARINE SERVICES BETHEL,BETHEL,BETHEL CENSUS AREA,AK,99559,60.788172,-161.68,Petroleum Bulk Terminals,NO,0.0,0.0,0.0,0.0
PLASKOLITE SOUTH LLC,OLIVE BRANCH,DESOTO,MS,38654,34.983278,-89.803556,Plastics and Rubber,NO,2200.0,0.0,0.0,2690.0
SHELL CHEMICAL LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Chemicals,YES,38000.0,0.0,0.0,44900.0
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,WILL,IL,60410,41.413831,-88.18346,Petroleum,NO,8775.4,32.6,0.0,33842.2
TYCO FIRE PRODUCTS LP,MARINETTE,MARINETTE,WI,54143,45.09713,-87.61406,Chemicals,NO,0.5,0.0,0.0,16.5
VALVOLINE GLOBAL PRODUCTS,NOBLESVILLE,HAMILTON,IN,46060,40.0108,-86.00547,Petroleum Bulk Terminals,NO,0.0,0.0,0.0,0.0
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,NO,1530.0,0.0,0.0,5060.0
EXXONMOBIL BATON ROUGE REFINERY (PART),BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.484917,-91.17392,Petroleum,YES,500.0,0.0,0.0,520.0
FLINT HILLS RESOURCES PINE BEND LLC,ROSEMOUNT,DAKOTA,MN,55068,44.764434,-93.039484,Petroleum,NO,550.0,0.0,0.0,1207.0
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.320903,-91.239015,Chemicals,NO,0.0,0.0,0.0,34.0
ASSOCIATED PETROLEUM PRODUCTS INC,TACOMA,PIERCE,WA,98421,47.24373,-122.402101,Petroleum Bulk Terminals,YES,0.0,0.0,0.0,0.0
