fips,county,incidence_rate
12033.0,"Escambia County, Florida(6)",507.8 
46025.0,"Clark County, South Dakota(6)",507.6 
30095.0,"Stillwater County, Montana(6)",507.4 
47111.0,"Macon County, Tennessee(6)",507.4 
17075.0,"Iroquois County, Illinois(7)",507.3 
19163.0,"Scott County, Iowa(7)",507.2 
36011.0,"Cayuga County, New York(7)",507.1 
48073.0,"Cherokee County, Texas(7)",507 
13255.0,"Spalding County, Georgia(7)",506.9 
29201.0,"Scott County, Missouri(6)",506.9 
29097.0,"Jasper County, Missouri(6)",506.6 
29087.0,"Holt County, Missouri(6)",506.6 
54101.0,"Webster County, West Virginia(6)",506.6 
47067.0,"Hancock County, Tennessee(6)",506.5 
13037.0,"Calhoun County, Georgia(7)",506.5 
29227.0,"Worth County, Missouri(6)",506.5 
37161.0,"Rutherford County, North Carolina(6)",506.2 
34037.0,"Sussex County, New Jersey(7)",506.2 
47013.0,"Campbell County, Tennessee(6)",506.2 
12009.0,"Brevard County, Florida(6)",506.1 
37107.0,"Lenoir County, North Carolina(6)",506.1 
47083.0,"Houston County, Tennessee(6)",506.1 
39047.0,"Fayette County, Ohio(6)",506 
51131.0,"Northampton County, Virginia(6)",506 
21181.0,"Nicholas County, Kentucky(7)",505.9 
19113.0,"Linn County, Iowa(7)",505.9 
19131.0,"Mitchell County, Iowa(7)",505.9 
21089.0,"Greenup County, Kentucky(7)",505.9 
39059.0,"Guernsey County, Ohio(6)",505.7 
51075.0,"Goochland County, Virginia(6)",505.7 
54011.0,"Cabell County, West Virginia(6)",505.6 
40043.0,"Dewey County, Oklahoma(6)",505.5 
28111.0,"Perry County, Mississippi(6)",505.5 
12075.0,"Levy County, Florida(6)",505.4 
42079.0,"Luzerne County, Pennsylvania(6)",505.4 
39105.0,"Meigs County, Ohio(6)",505.4 
21163.0,"Meade County, Kentucky(7)",505.4 
47081.0,"Hickman County, Tennessee(6)",505.3 
42095.0,"Northampton County, Pennsylvania(6)",505.3 
48105.0,"Crockett County, Texas(7)",505.3 
21113.0,"Jessamine County, Kentucky(7)",505.2 
12041.0,"Gilchrist County, Florida(6)",505.2 
31003.0,"Antelope County, Nebraska(6)",505.1 
27075.0,"Lake County, Minnesota(6)",505.1 
30007.0,"Broadwater County, Montana(6)",505 
13039.0,"Camden County, Georgia(7)",505 
19095.0,"Iowa County, Iowa(7)",504.9 
38081.0,"Sargent County, North Dakota(6)",504.9 
13139.0,"Hall County, Georgia(7)",504.9 
51127.0,"New Kent County, Virginia(6)",504.8 
51830.0,"Williamsburg City, Virginia(6)",504.8 
37001.0,"Alamance County, North Carolina(6)",504.7 
28077.0,"Lawrence County, Mississippi(6)",504.7 
30111.0,"Yellowstone County, Montana(6)",504.6 
28095.0,"Monroe County, Mississippi(6)",504.5 
13163.0,"Jefferson County, Georgia(7)",504.5 
38009.0,"Bottineau County, North Dakota(6)",504.5 
21083.0,"Graves County, Kentucky(7)",504.5 
55101.0,"Racine County, Wisconsin(6)",504.4 
17179.0,"Tazewell County, Illinois(7)",504.4 
39127.0,"Perry County, Ohio(6)",504.3 
22007.0,"Assumption Parish, Louisiana(7)",504.3 
36083.0,"Rensselaer County, New York(7)",504.3 
24039.0,"Somerset County, Maryland(6)",504.2 
51820.0,"Waynesboro City, Virginia(6)",504.2 
21135.0,"Lewis County, Kentucky(7)",504.1 
19195.0,"Worth County, Iowa(7)",504.1 
54049.0,"Marion County, West Virginia(6)",504 
13205.0,"Mitchell County, Georgia(7)",504 
27163.0,"Washington County, Minnesota(6)",504 
21047.0,"Christian County, Kentucky(7)",503.9 
27113.0,"Pennington County, Minnesota(6)",503.9 
39111.0,"Monroe County, Ohio(6)",503.9 
21021.0,"Boyle County, Kentucky(7)",503.8 
30069.0,"Petroleum County, Montana(6)",503.7 
21201.0,"Robertson County, Kentucky(7)",503.6 
47167.0,"Tipton County, Tennessee(6)",503.5 
17145.0,"Perry County, Illinois(7)",503.5 
12023.0,"Columbia County, Florida(6)",503.5 
21161.0,"Mason County, Kentucky(7)",503.4 
54039.0,"Kanawha County, West Virginia(6)",503.4 
48363.0,"Palo Pinto County, Texas(7)",503.2 
48315.0,"Marion County, Texas(7)",503.1 
38061.0,"Mountrail County, North Dakota(6)",503.1 
17187.0,"Warren County, Illinois(7)",503.1 
37071.0,"Gaston County, North Carolina(6)",502.9 
1107.0,"Pickens County, Alabama(6)",502.9 
27159.0,"Wadena County, Minnesota(6)",502.9 
48071.0,"Chambers County, Texas(7)",502.9 
22035.0,"East Carroll Parish, Louisiana(7)",502.8 
55047.0,"Green Lake County, Wisconsin(6)",502.7 
13143.0,"Haralson County, Georgia(7)",502.6 
21075.0,"Fulton County, Kentucky(7)",502.6 
42131.0,"Wyoming County, Pennsylvania(6)",502.5 
21059.0,"Daviess County, Kentucky(7)",502.5 
55075.0,"Marinette County, Wisconsin(6)",502.4 
33017.0,"Strafford County, New Hampshire(6)",502.4 
13319.0,"Wilkinson County, Georgia(7)",502.3 
28161.0,"Yalobusha County, Mississippi(6)",502.3 
54079.0,"Putnam County, West Virginia(6)",502.2 
42089.0,"Monroe County, Pennsylvania(6)",502.1 
27173.0,"Yellow Medicine County, Minnesota(6)",502.1 
17027.0,"Clinton County, Illinois(7)",502.1 
27025.0,"Chisago County, Minnesota(6)",502 
27115.0,"Pine County, Minnesota(6)",502 
19091.0,"Humboldt County, Iowa(7)",501.9 
47155.0,"Sevier County, Tennessee(6)",501.8 
22109.0,"Terrebonne Parish, Louisiana(7)",501.7 
27119.0,"Polk County, Minnesota(6)",501.6 
17203.0,"Woodford County, Illinois(7)",501.6 
